name,slug,released,genre,rating,metacritic
Centurion: A Triangular Roguelike,centurion-a-triangular-roguelike,2020-01-28,Strategy,0.0,
Snake (itch) (abdul_akhundzade) (abdul_akhundzade) (abdul_akhundzade),snake-itch-abdul_akhundzade-abdul_akhundzade-abdul,2020-01-28,Puzzle,0.0,
Galaxy Demo,galaxy-demo,2020-01-27,Adventure,0.0,
81 Fields,81-fields,2020-01-27,Strategy,0.0,
GNGK FANGAME PROJECT,gngk-fangame-project,2020-01-27,Action,0.0,
Rabbit Island (itch),rabbit-island-itch,2020-01-27,none,0.0,
Shark Attack (Zhakia13),shark-attack-zhakia13,2020-01-27,none,0.0,
Fight the Law,fight-the-law,2020-01-27,none,0.0,
The Dark Pigeon,the-dark-pigeon,2020-01-27,Action,0.0,
Butterfly With A Gun,butterfly-with-a-gun,2020-01-27,Action,0.0,
Only White? No Jumping?,only-white-no-jumping,2020-01-27,Platformer,0.0,
Stupidity & Grandeur: Centaur Gymnastics,stupidity-grandeur-centaur-gymnastics,2020-01-26,Action,0.0,
仙侠坛说,xian-xia-tan-shuo,2020-01-29,Strategy,0.0,
Evelyn's Farm,evelyns-farm,2020-01-27,Adventure,0.0,
Bard Kit,bard-kit,2020-01-30,RPG,0.0,
Instincts,instincts,2020-01-30,none,0.0,
Xenon Kart Racing,xenon-kart-racing,2020-01-30,Racing,0.0,
The Karusel Incident (Itch.io Version),the-karusel-incident-itchio-version,2020-01-30,none,0.0,
Tagtraum [German],tagtraum-german,2020-01-29,none,0.0,
Minimal Game Dog Escape,minimal-game-dog-escape,2020-01-29,Platformer,0.0,
Little Dude Torture Chamber V0.1,little-dude-torture-chamber-v01,2020-01-29,none,0.0,
Candy Beat,candy-beat,2020-01-26,Action,0.0,
Perfect Parking!,perfect-parking,2020-01-26,Casual,0.0,
Rip Air,rip-air,2020-02-03,none,0.0,
Arborarchy,arborarchy,2020-02-03,none,0.0,
Not Unlike the Waves,not-unlike-the-waves,2020-02-03,Adventure,0.0,
Comrade Cosmonaut,comrade-cosmonaut,2020-02-03,none,0.0,
Trasharia,trasharia,2020-02-03,Educational,0.0,
Bitsy Chinese Zodiac Race,bitsy-chinese-zodiac-race,2020-02-03,none,0.0,
The Coventry Strain,the-coventry-strain,2020-02-03,none,0.0,
Bird BnB,bird-bnb,2020-02-01,Educational,0.0,
Epic Race 3D,epic-race-3d,2020-01-18,Racing,0.0,
Wood Master 3D,wood-master-3d,2020-02-02,Simulation,0.0,
Soap Cutting Master: Peel ASRM,soap-cutting-master-peel-asrm,2020-02-01,Simulation,0.0,
SCIENCE DRAGON RAMPAGE,science-dragon-rampage,2020-02-03,Action,0.0,
Super Tape Man,super-tape-man,2020-02-03,none,0.0,
Vanishing Bridges,vanishing-bridges,2020-02-03,none,0.0,
After Crash,after-crash,2020-02-03,Adventure,0.0,
Armoni,armoni,2020-02-03,Adventure,0.0,
Snowbank Heroes,snowbank-heroes,2020-02-03,Racing,0.0,
Hell in a Hand Basket,hell-in-a-hand-basket,2020-02-03,Platformer,0.0,
Burning Horizon,burning-horizon,2020-02-03,Action,0.0,
Steamboat Willy,steamboat-willy,2020-02-02,Action,0.0,
LuxGrid,luxgrid,2020-02-02,Puzzle,0.0,
Trijam55,trijam55,2020-02-02,Shooter,0.0,
Order to Survive,order-to-survive,2020-02-02,Shooter,0.0,
Sintonia,sintonia,2020-02-02,Action,0.0,
The Wreanth Dating Sim,the-wreanth-dating-sim,2020-02-02,none,0.0,
Days with Shaylin,days-with-shaylin,2020-02-02,none,0.0,
Mr. Magnet,mr-magnet,2020-02-02,Action,0.0,
Repair Programming,repair-programming,2020-02-02,Puzzle,0.0,
Rhythm Rebuild,rhythm-rebuild,2020-02-02,none,0.0,
Zombuilder,zombuilder,2020-02-02,none,0.0,
RePair,repair-2,2020-02-02,Puzzle,0.0,
Fix The Damn Dam - Global Game Jam 2020,fix-the-damn-dam-global-game-jam-2020,2020-02-02,Puzzle,0.0,
Precious Memories,precious-memories,2020-02-02,Simulation,0.0,
ACE Up the Sleeve,ace-up-the-sleeve,2020-02-02,Platformer,0.0,
Junk King,junk-king,2020-02-02,none,0.0,
Mech Mechanic,mech-mechanic,2020-02-02,Action,0.0,
RepairBot - GGJ 2020,repairbot-ggj-2020,2020-02-02,Platformer,0.0,
Friendo Repairo,friendo-repairo,2020-02-02,Platformer,0.0,
Robo-Repair,robo-repair,2020-02-02,Platformer,0.0,
The Last Cactus,the-last-cactus,2020-02-02,none,0.0,
Bob the archer,bob-the-archer,2020-02-02,Shooter,0.0,
Coffee Jamming,coffee-jamming,2020-02-02,Puzzle,0.0,
Pixel Diving,pixel-diving,2020-02-02,Sports,0.0,
Birds Of A Feather Flock Together,birds-of-a-feather-flock-together,2020-02-02,none,0.0,
The Perfect Man - GGJ,the-perfect-man-ggj,2020-02-02,Platformer,0.0,
Rabbit Season,rabbit-season,2020-02-02,none,0.0,
de;graded,degraded,2020-02-02,Puzzle,0.0,
Game Machine Broke,game-machine-broke,2020-02-02,Platformer,0.0,
Planet's Hospital,planets-hospital,2020-02-02,none,0.0,
Heartbreak Doctor,heartbreak-doctor,2020-02-02,Shooter,0.0,
Code Conflict,code-conflict,2020-02-02,Puzzle,0.0,
Untitled Glue Game,untitled-glue-game,2020-02-02,Action,0.0,
Repentance,repentance,2020-02-02,Adventure,0.0,
Rover Runner,rover-runner,2020-02-02,Platformer,0.0,
Rebuild & Deploy,rebuild-deploy,2020-02-02,Action,0.0,
HERE WE GO AGAIN (BlakeDarrow),here-we-go-again-blakedarrow,2020-02-02,none,0.0,
Miracle Cure,miracle-cure,2020-02-02,Action,0.0,
Rapid Road Rage,rapid-road-rage,2020-02-02,Racing,0.0,
Floors III,floors-iii,2020-02-02,none,0.0,
The Magic Builder,the-magic-builder,2020-02-02,Platformer,0.0,
The Impossible Snake,the-impossible-snake,2020-02-02,none,0.0,
Repair-a-bots,repair-a-bots,2020-02-02,Adventure,0.0,
GGJ 2020 - Toy Repair Shop,ggj-2020-toy-repair-shop,2020-02-02,Simulation,0.0,
Robo-Repair (Barnyard Studios),robo-repair-barnyard-studios,2020-02-02,none,0.0,
OverBot,overbot,2020-02-02,Strategy,0.0,
The Hungry One,the-hungry-one,2020-02-02,none,0.0,
Broken World Repair DX,broken-world-repair-dx,2020-02-02,none,0.0,
World Pottery Warrior,world-pottery-warrior,2020-02-02,none,0.0,
Survivor Hunt,survivor-hunt,2020-02-02,Action,0.0,
Ring Rally,ring-rally,2020-02-02,Platformer,0.0,
"Agency of Broken Hearts (or, Heart Fixers)",agency-of-broken-hearts-or-heart-fixers,2020-02-02,none,0.0,
Ship Doctor,ship-doctor,2020-02-02,Puzzle,0.0,
Back In Time (zlsinger),back-in-time-zlsinger,2020-02-02,none,0.0,
R3P-41R,r3p-41r,2020-02-02,Puzzle,0.0,
Ham 'n' Hammer,ham-n-hammer,2020-02-02,Simulation,0.0,
Robit Mun,robit-mun,2020-02-02,Strategy,0.0,
RocketTripper,rockettripper,2020-02-02,Adventure,0.0,
The Bubble Head Mario (Version 0.1) NEW,the-bubble-head-mario-version-01-new,2020-02-02,Adventure,0.0,
5 nights at toy freddys,5-nights-at-toy-freddys,2020-02-02,Action,0.0,
Die & Repair (GGJ 2020),die-repair-ggj-2020,2020-02-02,none,0.0,
GO GO GRETZILLA!,go-go-gretzilla,2020-02-02,Action,0.0,
RE-GUM,re-gum,2020-02-02,Platformer,0.0,
Mechatic,mechatic,2020-02-02,Platformer,0.0,
Junity 2020.31.1F4,junity-2020311f4,2020-02-02,Simulation,0.0,
Kaput Kommander (Quest),kaput-kommander-quest,2020-02-02,Strategy,0.0,
Broken Mind,broken-mind,2020-02-02,Puzzle,0.0,
EDEN (BloooBird),eden-blooobird,2020-02-02,Strategy,0.0,
5by5game,5by5game,2020-02-02,none,0.0,
Repairing Herpo Thicknesse Umbridge's Horcrux,repairing-herpo-thicknesse-umbridges-horcrux,2020-02-02,Puzzle,0.0,
A Space Mystery,a-space-mystery,2020-02-02,Puzzle,0.0,
FactoRepair,factorepair,2020-02-02,Action,0.0,
Fang In Tropical Valley,fang-in-tropical-valley,2020-02-02,Platformer,0.0,
R.I.Pair,ripair-2,2020-02-02,Puzzle,0.0,
Two Halves,two-halves,2020-02-02,Puzzle,0.0,
Let Me Fix You,let-me-fix-you,2020-02-02,none,0.0,
DAIKAIJU DAIKESSEN: NEO BATTLE XROSS,daikaiju-daikessen-neo-battle-xross,2020-02-02,Action,0.0,
GGJ2020 - The Forest is Dying,ggj2020-the-forest-is-dying,2020-02-02,Adventure,0.0,
Mix&Fix,mixfix,2020-02-02,none,0.0,
Patients Please,patients-please,2020-02-02,Adventure,0.0,
"Say No to Trump ""Deal of Century""",say-no-to-trump-deal-of-century,2020-02-02,none,0.0,
The Painted City,the-painted-city,2020-02-02,none,0.0,
Cerebral Calibration (GGJ 2020),cerebral-calibration-ggj-2020,2020-02-02,RPG,0.0,
Ephemeral GGJ2020,ephemeral-ggj2020,2020-02-02,Puzzle,0.0,
Space Oblivion,space-oblivion,2020-02-02,none,0.0,
Bobble the Builder,bobble-the-builder,2020-02-02,Puzzle,0.0,
Mr. Toonbird,mr-toonbird,2020-02-02,Platformer,0.0,
Moving On (newworldcircuit),moving-on-newworldcircuit,2020-02-02,Adventure,0.0,
Treasure N' Bones,treasure-n-bones,2020-02-02,Platformer,0.0,
After The Level Ends,after-the-level-ends,2020-02-02,Adventure,0.0,
Space Boat Frenzy,space-boat-frenzy,2020-02-02,none,0.0,
CyberChicken The Science Has Gone Too Far,cyberchicken-the-science-has-gone-too-far,2020-02-02,Platformer,0.0,
Blob Arena,blob-arena,2020-02-02,Action,0.0,
This is fine (Augusto Jose Chies),this-is-fine-augusto-jose-chies,2020-02-02,none,0.0,
Dwarf Fortress (itch),dwarf-fortress-itch,2020-02-02,Action,0.0,
Build-A-Bot,build-a-bot-2,2020-02-02,Platformer,0.0,
Counter Strike Simulator Case 1,counter-strike-simulator-case-1,2020-02-02,Simulation,0.0,
Dear Wormwood,dear-wormwood,2020-02-02,none,0.0,
Repair Arena,repair-arena,2020-02-02,Action,0.0,
RSQUARED,rsquared,2020-02-02,Action,0.0,
Lumpy (godhoestudios),lumpy-godhoestudios,2020-02-02,Strategy,0.0,
The Sound of Souls,the-sound-of-souls,2020-02-02,none,0.0,
PROTON: Retro-Like Soviet FPS Game (GGJ 2020),proton-retro-like-soviet-fps-game-ggj-2020,2020-02-02,Shooter,0.0,
Naughty Frog,naughty-frog,2020-02-02,Platformer,0.0,
Fibres [Part 1],fibres-part-1,2020-02-02,Adventure,0.0,
Bombepair,bombepair,2020-02-02,none,0.0,
Slimuru,slimuru,2020-02-02,Platformer,0.0,
Lucas Neto's Adventure (GGJ20),lucas-netos-adventure-ggj20,2020-02-02,Puzzle,0.0,
R.I.P.AIR,ripair-3,2020-02-02,Action,0.0,
Intertwined (Precotonejde),intertwined-precotonejde,2020-02-02,Puzzle,0.0,
Trivia Cannon,trivia-cannon,2020-02-02,Educational,0.0,
Fake Exhibitions,fake-exhibitions,2020-02-02,Action,0.0,
Pandabutts,pandabutts,2020-02-02,Platformer,0.0,
Transition Altitude,transition-altitude,2020-02-02,Puzzle,0.0,
Electrolink,electrolink,2020-02-02,Platformer,0.0,
House Keeper (ruhitheunderground),house-keeper-ruhitheunderground,2020-02-02,Simulation,0.0,
Handyman Simulator,handyman-simulator,2020-02-02,Puzzle,0.0,
Age of Glitch,age-of-glitch,2020-02-02,Puzzle,0.0,
Repair Wuhan,repair-wuhan,2020-02-02,none,0.0,
Party Poker,party-poker,2020-02-02,Simulation,0.0,
The Bird and the Beard,the-bird-and-the-beard,2020-02-02,Platformer,0.0,
REPAIR THE GAME,repair-the-game,2020-02-02,Puzzle,0.0,
Mending of Lucy's Heart,mending-of-lucys-heart,2020-02-02,Adventure,0.0,
Repair Them - GlobalGameJam2020,repair-them-globalgamejam2020,2020-02-02,Simulation,0.0,
"Colossus (itch) (Alessandro ""Ordnas"" Capriolo)",colossus-itch-alessandro-ordnas-capriolo,2020-02-02,Adventure,0.0,
Squash (Jerrin Thomas),squash-jerrin-thomas,2020-02-02,none,0.0,
re-pairs,re-pairs,2020-02-02,Puzzle,0.0,
Glitch--;,glitch-,2020-02-02,Action,0.0,
Re-Pair (RenderQuake Games),re-pair-renderquake-games,2020-02-02,Puzzle,0.0,
How It Should Be,how-it-should-be,2020-02-02,none,0.0,
Demon Massacre,demon-massacre,2020-01-31,Action,0.0,
A fuga do astronauta - Frederico,a-fuga-do-astronauta-frederico,2020-01-31,Adventure,0.0,
World Tour,world-tour,2020-01-31,none,0.0,
Connection (michs),connection-michs,2020-01-31,Adventure,0.0,
Falling Drops,falling-drops,2020-01-31,none,0.0,
Animal Chase,animal-chase,2020-01-31,Educational,0.0,
Defrost,defrost,2020-01-31,none,0.0,
Date with a Werewolf,date-with-a-werewolf,2020-01-31,none,0.0,
Long Live The Rat Queen,long-live-the-rat-queen,2020-01-31,none,0.0,
Esfera,esfera,2020-01-31,none,0.0,
LOBOS DEL CREPÚSCULO SLOT GAME SOUND PACK - Professi Music and Sound Effects,lobos-del-crepusculo-slot-game-sound-pack-professi,2020-01-30,none,0.0,
Hot Water,hot-water,2020-01-31,Platformer,0.0,
cube platformer,cube-platformer,2020-01-31,Platformer,0.0,
Refuge (Luali),refuge-luali,2020-01-31,none,0.0,
Beyond (Working Title),beyond-working-title,2020-01-31,Platformer,0.0,
VGL GAME JAM,vgl-game-jam,2020-01-31,Platformer,0.0,
Dronn Ultra,dronn-ultra,2020-01-31,Strategy,0.0,
Bombastic Battle Arena,bombastic-battle-arena,2020-01-31,Action,0.0,
Space Submarine,space-submarine,2020-01-31,Adventure,0.0,
Climball (kingdomjack),climball-kingdomjack,2020-01-31,none,0.0,
r place clone,r-place-clone,2020-01-31,Educational,0.0,
The Crashed Cyborg,the-crashed-cyborg,2020-02-01,Adventure,0.0,
Cyberia (itch) (katton),cyberia-itch-katton,2020-02-01,Adventure,0.0,
Rope Skipper,rope-skipper,2020-02-01,none,0.0,
Blessed Surface (itch),blessed-surface-itch,2020-02-01,Platformer,0.0,
The Lone Soldier,the-lone-soldier,2020-02-01,Shooter,0.0,
Move or Die (itch),move-or-die-itch,2020-02-01,Shooter,0.0,
DETRIMENTAL PRINCIPLES: A Space Funeral Story,detrimental-principles-a-space-funeral-story,2020-02-01,RPG,0.0,
Lazlo's Revenge,lazlos-revenge,2020-02-01,none,0.0,
Tin Top's Ten-Win,tin-tops-ten-win,2020-02-01,Action,0.0,
Dread Stalker,dread-stalker,2020-02-02,Adventure,0.0,
Return To Earth (itch) (rohin),return-to-earth-itch-rohin,2020-02-02,Simulation,0.0,
Rocket Escape (JamInTheJukebox),rocket-escape-jaminthejukebox,2020-02-02,Strategy,0.0,
crow sketch,crow-sketch,2020-02-02,Adventure,0.0,
Space 3,space-3-2,2020-02-02,Shooter,0.0,
rat bastard (placeholder),rat-bastard-placeholder,2020-02-02,none,0.0,
Masquerade Bar,masquerade-bar,2020-02-01,Puzzle,0.0,
Survive America,survive-america,2020-02-01,none,0.0,
2 By 2,2-by-2,2020-02-02,Action,0.0,
FLESH FEAST (itch),flesh-feast-itch,2020-02-02,Action,0.0,
Peak [Demo 3],peak-demo-3,2020-02-01,Action,0.0,
Wavelength!,wavelength,2020-02-02,none,0.0,
Revenge .44,revenge-44,2020-02-01,Shooter,0.0,
Closets,closets,2020-02-01,none,0.0,
Honor Bound Coalition,honor-bound-coalition,2020-02-01,Adventure,0.0,
Pula,pula,2020-02-01,Fighting,0.0,
Arise Skeleton! DEMO,arise-skeleton-demo,2020-02-01,Platformer,0.0,
Penny Farther,penny-farther,2020-02-01,Platformer,0.0,
I wouldn't if you didn't,i-wouldnt-if-you-didnt,2020-02-01,none,0.0,
You Are The Rats In The Walls,you-are-the-rats-in-the-walls,2020-01-31,Action,0.0,
Racoon Thief,racoon-thief,2020-01-31,Platformer,0.0,
[SA Game Jam 2016] Roll Out,sa-game-jam-2016-roll-out,2020-01-31,Platformer,0.0,
The Door of Truth,the-door-of-truth,2020-01-31,Puzzle,0.0,
Highrise (itch),highrise-itch,2020-02-01,none,0.0,
Fred the fox,fred-the-fox,2020-02-01,none,0.0,
A Model of Collective Movement Driven by the Visual Field,a-model-of-collective-movement-driven-by-the-visua,2020-02-01,Simulation,0.0,
Phantom Puppet Fighters,phantom-puppet-fighters,2020-02-01,Fighting,0.0,
Booful,booful,2020-02-01,RPG,0.0,
Fly VS. File,fly-vs-file,2020-02-01,none,0.0,
Safety Check,safety-check,2020-02-01,Shooter,0.0,
OddHeroz,oddheroz,2020-02-01,Shooter,0.0,
He who gets mauled,he-who-gets-mauled,2020-02-01,none,0.0,
Just Scape,just-scape,2020-02-01,Adventure,0.0,
Tetrominoes,tetrominoes,2020-02-01,Puzzle,0.0,
30 Seconds or Less,30-seconds-or-less,2020-02-01,RPG,0.0,
Galaxy Hell,galaxy-hell,2020-01-31,Shooter,0.0,
The Pixel Dungeon,the-pixel-dungeon,2020-01-31,Platformer,0.0,
JusticeForAll,justiceforall,2020-01-31,none,0.0,
Baldi's Basic Swapped The Old Laboratory,baldis-basic-swapped-the-old-laboratory,2020-02-01,none,0.0,
Lizard Lady vs the Cats web player version,lizard-lady-vs-the-cats-web-player-version,2020-01-31,Action,0.0,
Rock Paper Scissors (ZachYarbrough),rock-paper-scissors-zachyarbrough,2020-01-31,Platformer,0.0,
Three Little Pigs Returns - Revenge of Wolf,three-little-pigs-returns-revenge-of-wolf,2020-02-02,Action,0.0,
Run Pharaoh Run!,run-pharaoh-run,2020-02-02,Platformer,0.0,
Grachtenhuis (Demo),grachtenhuis-demo,2020-02-02,Puzzle,0.0,
fps shooter (zhakiyanov07),fps-shooter-zhakiyanov07,2020-02-02,Shooter,0.0,
RepairPlane,repairplane,2020-02-02,Action,0.0,
Project F.E.,project-fe,2020-02-02,none,0.0,
RnnR,rnnr,2020-02-02,Platformer,0.0,
Spin Doctor (Cratesmith),spin-doctor-cratesmith,2020-02-02,none,0.0,
Data manipulata (rus.),data-manipulata-rus,2020-02-02,none,0.0,
Good MOOrning,good-moorning,2020-02-02,Adventure,0.0,
RE: SaP,re-sap,2020-02-02,Puzzle,0.0,
Radiation Reparation,radiation-reparation,2020-02-02,Puzzle,0.0,
deadlocke,deadlocke,2020-02-02,none,0.0,
The repaiRING (migzee),the-repairing-migzee,2020-02-02,none,0.0,
Wi-Fü,wi-fu,2020-02-02,Adventure,0.0,
Fix Your Way Out,fix-your-way-out,2020-02-02,Platformer,0.0,
Save The Web (Kevin Coppock),save-the-web-kevin-coppock,2020-02-02,Action,0.0,
Save The Web,save-the-web,2020-02-02,Strategy,0.0,
Potion Pub,potion-pub,2020-02-02,none,0.0,
Castle's Labyrinth,castles-labyrinth,2020-01-31,RPG,0.0,
"Love, Kyoko",love-kyoko,2020-01-31,RPG,0.0,
Through,through,2020-01-31,Puzzle,0.0,
A Square.,a-square,2020-01-31,Platformer,0.0,
PurpleHell,purplehell,2020-01-31,RPG,0.0,
Space Stomp,space-stomp,2020-01-31,Action,0.0,
Area 41,area-41,2020-01-31,Shooter,0.0,
Food Fight (itch) (Whatavins),food-fight-itch-whatavins,2020-01-31,Strategy,0.0,
BerryLand Arcade,berryland-arcade,2020-01-30,Platformer,0.0,
TERMINAL 64,terminal-64,2020-02-17,Adventure,0.0,
BackToLife,backtolife,2020-02-16,none,0.0,
Dread Pirate,dread-pirate,2020-02-16,Adventure,0.0,
Refurbo Shop,refurbo-shop,2020-02-16,Puzzle,0.0,
Collect The Scraps,collect-the-scraps,2020-02-17,none,0.0,
Direct Production,direct-production,2020-02-16,Strategy,0.0,
Kitty Cat Love,kitty-cat-love,2020-02-16,Platformer,0.0,
Gravity (itch) (docquantum),gravity-itch-docquantum,2020-02-16,Platformer,0.0,
Hitbox (itch) (Drewskey),hitbox-itch-drewskey,2020-02-16,Platformer,0.0,
Leaf Me Alone!,leaf-me-alone-2,2020-02-16,none,0.0,
Gray Love Potion,gray-love-potion,2020-02-16,Puzzle,0.0,
Mom - Vacuum - Panic,mom-vacuum-panic,2020-02-16,Strategy,0.0,
Kids Hell,kids-hell,2020-02-16,none,0.0,
dodge the Plodge,dodge-the-plodge,2020-02-16,Platformer,0.0,
Just a Normal Cube,just-a-normal-cube,2020-02-16,none,0.0,
Proreptile,proreptile,2020-02-16,none,0.0,
STARS GAME,stars-game,2020-02-16,none,0.0,
The Miracle,the-miracle,2020-02-16,none,0.0,
Multiverse (Thanaa),multiverse-thanaa,2020-02-15,Adventure,0.0,
Rolling the ball,rolling-the-ball,2020-02-15,RPG,0.0,
One minute to hack,one-minute-to-hack,2020-02-15,Action,0.0,
DMFight,dmfight,2020-02-15,Shooter,0.0,
Persona Breakout,persona-breakout,2020-02-15,Puzzle,0.0,
Escape the Plant! by TSR,escape-the-plant-by-tsr,2020-02-15,RPG,0.0,
Shoot Em Dead,shoot-em-dead,2020-02-15,Shooter,0.0,
jogo sem nome,jogo-sem-nome,2020-02-15,Adventure,0.0,
Astrashoot,astrashoot,2020-02-15,Shooter,0.0,
Last Squad: Humankind resistance,last-squad-humankind-resistance,2020-02-15,none,0.0,
Button Runner,button-runner,2020-02-15,Platformer,0.0,
NeonShooter,neonshooter,2020-02-15,Shooter,0.0,
Gallowglass - The REDACTED Job,gallowglass-the-redacted-job,2020-02-15,none,0.0,
Miner 2149,miner-2149,2020-02-15,none,0.0,
The Plane,the-plane,2020-02-15,Action,0.0,
Tempest Fever,tempest-fever,2020-02-15,none,0.0,
GREYHAT - A Digital Detective Adventure (Demo),greyhat-a-digital-detective-adventure-demo,2020-02-15,Adventure,0.0,
Minimals,minimals,2020-02-15,Simulation,0.0,
Magical Jumping Bean,magical-jumping-bean,2020-02-16,Platformer,0.0,
Lost Cave (Arsal),lost-cave-arsal,2020-02-15,Platformer,0.0,
ch_,ch_,2020-02-15,Action,0.0,
7 Colores,7-colores,2020-02-16,Platformer,0.0,
JumpJump (Rompkins),jumpjump-rompkins,2020-02-16,Platformer,0.0,
Purple Ducky Must Die,purple-ducky-must-die,2020-02-16,Shooter,0.0,
Pequenos Sonhos,pequenos-sonhos,2020-02-16,Platformer,0.0,
BEAT THE GOBBLINS,beat-the-gobblins,2020-02-15,Action,0.0,
Sushi Packer,sushi-packer,2020-02-15,Strategy,0.0,
FPS Microgame,fps-microgame,2020-02-15,Shooter,0.0,
Baldi's Basics The Old Laboratory Fat,baldis-basics-the-old-laboratory-fat,2020-02-15,none,0.0,
Jump dude,jump-dude,2020-02-15,Platformer,0.0,
Dora OS Download available,dora-os-download-available,2020-02-15,none,0.0,
Edge in Game Alanzoka - Parte I,edge-in-game-alanzoka-parte-i,2020-02-14,Adventure,0.0,
Paddle Whacker,paddle-whacker,2020-02-14,Sports,0.0,
Family Rescue,family-rescue,2020-02-14,Adventure,0.0,
Short Story,short-story,2020-02-14,none,0.0,
Automatic Dice Rolling Machine,automatic-dice-rolling-machine,2020-02-14,Educational,0.0,
Vyrus (maturski62),vyrus-maturski62,2020-02-14,none,0.0,
Nomad (itch) (Lost Legacy),nomad-itch-lost-legacy,2020-02-14,Adventure,0.0,
AppleCatch,applecatch,2020-02-14,none,0.0,
Ɛ>|<3,e3,2020-02-14,none,0.0,
BLACK WHITE (ARRE GAMES),black-white-arre-games,2020-02-14,Puzzle,0.0,
Random Planet Generator,random-planet-generator,2020-02-14,none,0.0,
Pokémon: shining crystal,pokemon-shining-crystal,2020-02-14,Adventure,0.0,
BNHA/MHA Valentines Dating Sim,bnhamha-valentines-dating-sim,2020-02-14,none,0.0,
Hugbit,hugbit,2020-02-13,Adventure,0.0,
The Cave (itch) (Olon1993),the-cave-itch-olon1993,2020-02-14,Action,0.0,
Typing: Crisis,typing-crisis,2020-02-14,Action,0.0,
Stereo City,stereo-city,2020-02-14,Platformer,0.0,
tanks (itch) (aguilucho5),tanks-itch-aguilucho5,2020-02-14,Action,0.0,
Mother of Dragons,mother-of-dragons,2020-02-14,Fighting,0.0,
Bean Burrito 2: The Game,bean-burrito-2-the-game,2020-02-14,Platformer,0.0,
Fungal Green (aka. Radical Botany in 2037.),fungal-green-aka-radical-botany-in-2037,2020-02-14,none,0.0,
The Bus Will Be At The Bus Stop Soon!,the-bus-will-be-at-the-bus-stop-soon,2020-02-14,none,0.0,
The Cube (itch) (Great Gamess),the-cube-itch-great-gamess,2020-02-14,none,0.0,
Bitsy the corgi and a lost puppy,bitsy-the-corgi-and-a-lost-puppy,2020-02-14,Adventure,0.0,
The Rescue-droid,the-rescue-droid,2020-02-14,none,0.0,
Space Love 2700,space-love-2700,2020-02-14,none,0.0,
Modern Times (j4nw),modern-times-j4nw,2020-02-14,none,0.0,
For the Love of Griffons,for-the-love-of-griffons,2020-02-14,none,0.0,
Un amour de fleur 🌹❤️🌷🌺🌸,un-amour-de-fleur,2020-02-14,Educational,0.0,
NinjaGo - Matilde Borges,ninjago-matilde-borges,2020-02-14,none,0.0,
ronson johnson 2 (naskivik),ronson-johnson-2-naskivik,2020-02-14,Shooter,0.0,
Strange Friends - Volume 1,strange-friends-volume-1,2020-02-14,none,0.0,
FILL the EARTH,fill-the-earth,2020-02-14,none,0.0,
Noi,noi,2020-02-14,none,0.0,
Color Fire (Nantharo),color-fire-nantharo,2020-02-14,Puzzle,0.0,
Sabotage Garage,sabotage-garage,2020-02-14,none,0.0,
SHAPEOUT (Samuel Vargha),shapeout-samuel-vargha,2020-02-14,Shooter,0.0,
Saboteur II: Avenging Angel (2020),saboteur-ii-avenging-angel-2020,2020-02-14,none,0.0,
Archer Warrior,archer-warrior,2020-02-13,Casual,0.0,
Trains on Time,trains-on-time,2020-02-15,Board Games,0.0,
Beat Swiper,beat-swiper,2020-02-12,Action,0.0,
Overdrive City,overdrive-city,2020-02-13,Racing,0.0,
Duck Factory 2,duck-factory-2,2020-02-17,none,0.0,
rigid (gauze),rigid-gauze,2020-02-17,Platformer,0.0,
Seek and Destroy-Battle Unleashed,seek-and-destroy-battle-unleashed,2020-02-16,Shooter,0.0,
Assembly Line (itch) (GreenBeakCrow),assembly-line-itch-greenbeakcrow,2020-02-16,Puzzle,0.0,
Nice N'Square!,nice-nsquare,2020-02-16,Shooter,0.0,
Cannon (bhmdev),cannon-bhmdev,2020-02-16,Shooter,0.0,
dont touch the holes,dont-touch-the-holes,2020-02-16,none,0.0,
Korpus: Buried over the Black Soil,korpus-buried-over-the-black-soil,2020-02-14,Puzzle,0.0,
Saviour (KRedCell),saviour-kredcell,2020-02-14,Adventure,0.0,
THE COMING BACK - a FNAF AR fangame,the-coming-back-a-fnaf-ar-fangame,2020-02-16,Strategy,0.0,
Cheating Simulator 3D - Hindi: एग्जाम में चीटिंग।,cheating-simulator-3d-hindi-egjaam-men-ciitting,2020-02-16,Educational,0.0,
Bloody Room 2D(Gore Pixelated),bloody-room-2dgore-pixelated,2020-02-14,Shooter,0.0,
"TEMPLE (Raymond Dee, LimitCut)",temple-raymond-dee-limitcut,2020-02-16,Adventure,0.0,
Beat The Castle,beat-the-castle,2020-02-19,Strategy,0.0,
Side Story - BROKEN LAYERS,side-story-broken-layers,2020-02-19,none,0.0,
Dodge the Lazer (Mrmango303),dodge-the-lazer-mrmango303,2020-02-19,none,0.0,
Coulrophobiac 2,coulrophobiac-2,2020-02-19,Shooter,0.0,
Escape Znorlaxia,escape-znorlaxia,2020-02-19,Action,0.0,
ControlTheEnvirontment,controltheenvirontment,2020-02-19,Platformer,0.0,
Date Rush,date-rush,2020-02-19,Simulation,0.0,
Dodge The Blocks (itch),dodge-the-blocks-itch,2020-02-19,Adventure,0.0,
Science Fair Shrink Ray (WIP),science-fair-shrink-ray-wip,2020-02-19,none,0.0,
